AX,AY,AZ
0.010788043,0.005582216,265.9418947
0.010798349,0.005547856,266.9413641
0.010806663,0.005513469,267.7576065
0.01081294,0.005479067,268.3933274
0.010817137,0.00544466,268.8559804
0.010819208,0.005410263,269.1578286
0.010819105,0.005375884,269.3135969
0.010816779,0.005341537,269.3369207
0.010812179,0.00530723,269.2381208
0.010805254,0.005272974,269.0245506
0.010795952,0.005238779,268.7028004
0.010784221,0.005204655,268.2807388
0.01077001,0.005170609,267.7672673
0.010753266,0.005136652,267.169402
0.010733934,0.005102789,266.4890686
0.010711958,0.005069027,265.7227761
0.010687284,0.005035372,264.8648621
0.010659855,0.005001824,263.9121058
0.010629613,0.004968387,262.8667288
0.010596505,0.004935063,261.7360476
0.010560473,0.004901851,260.5294329
0.010521463,0.004868751,259.2552067
0.01047942,0.004835763,257.919683
0.01043429,0.004802884,256.5279644
0.010386019,0.004770112,255.0842269
0.010334553,0.004737445,253.5903126
0.01027984,0.004704879,252.0438514
0.010221825,0.004672409,250.4376687
0.010160456,0.004640032,248.7609908
0.010095678,0.004607743,247.0017911
0.010027438,0.004575538,245.1490567
0.009955681,0.004543414,243.1939921
0.009880351,0.004511368,241.1301831
0.009801392,0.004479398,238.9534127
0.009718746,0.004447503,236.6616001
0.009632355,0.004415682,234.2547601
0.009542161,0.004383934,231.7348804
0.009448108,0.004352259,229.1059831
0.009350139,0.004320654,226.3743289
0.009248197,0.004289118,223.5482741
0.009142225,0.004257652,220.6373728
0.009032164,0.004226253,217.6507849
0.008917957,0.004194921,214.5959694
0.008799544,0.004163656,211.4787873
0.008676869,0.004132455,208.3047052
0.008549874,0.004101322,205.0797349
0.008418505,0.004070259,201.8103516
0.008282703,0.004039273,198.5027794
0.008142414,0.004008371,195.1623183
0.007997578,0.003977559,191.7929764
0.007848139,0.003946841,188.3976336
0.007694036,0.003916225,184.9790418
0.00753521,0.003885714,181.541417
0.007371599,0.003855314,178.0916846
0.007203144,0.00382503,174.6394589
0.00702978,0.003794869,171.1956964
0.006851447,0.00376484,167.7709809
0.006668083,0.00373495,164.3744627
0.006479628,0.003705208,161.0133684
0.006286025,0.003675619,157.6924703
0.006087217,0.003646188,154.4135562
0.005883151,0.003616922,151.175225
0.005673771,0.003587826,147.9731115
0.005459025,0.003558907,144.8008048
0.00523886,0.003530173,141.6516859
0.005013221,0.003501631,138.5210295
0.004782057,0.003473288,135.4072091
0.004545317,0.003445156,132.3115126
0.004302951,0.003417245,129.2370002
0.004054909,0.003389569,126.1870547
0.00380114,0.003362144,123.1638914
0.003541598,0.003334986,120.1670688
0.003276232,0.003308109,117.1924473
0.003004995,0.003281532,114.2327199
0.002727837,0.00325527,111.2800455
0.002444709,0.003229343,108.3291517
0.002155561,0.00320377,105.3784979
0.001860345,0.00317857,102.4291941
0.001559011,0.00315376,99.48351061
0.001251511,0.003129356,96.54434747
0.000937795,0.003105372,93.61525506
0.00061781,0.00308182,90.70020959
0.000291503,0.00305871,87.80304165
-4.1181E-05,0.003036049,84.92659946
-0.000380299,0.003013843,82.07174877
-0.000725905,0.002992098,79.23663814
-0.001078054,0.002970815,76.41692354
-0.001436795,0.002949997,73.60731971
-0.001802178,0.002929647,70.80366182
-0.002174248,0.00290977,68.00421184
-0.002553053,0.00289037,65.21004648
-0.002938639,0.00287145,62.42497564
-0.003331051,0.002853012,59.65497093
-0.003730336,0.00283506,56.90675735
-0.004136541,0.002817593,54.18556816
-0.004549712,0.002800612,51.49312418
-0.004969894,0.002784119,48.82742976
-0.005397131,0.002768114,46.18475278
-0.005831468,0.002752598,43.56235987
-0.006272949,0.002737572,40.96004734
-0.006721619,0.002723035,38.37948808
-0.007177523,0.002708988,35.82202723
-0.007640705,0.00269543,33.28678395
-0.008111206,0.002682364,30.77054945
-0.00858907,0.002669787,28.26923628
-0.00907434,0.0026577,25.77971543
-0.00956706,0.0026461,23.30118399
-0.010067272,0.002634985,20.8354918
-0.010575018,0.002624352,18.38624338
-0.011090339,0.002614194,15.95714475
-0.011613275,0.002604505,13.55057461
-0.012143867,0.00259528,11.16735994
-0.012682156,0.002586511,8.807919091
-0.013228183,0.002578191,6.474160136
-0.013781988,0.002570313,4.171358781
-0.01434361,0.002562868,1.909036137
-0.014913087,0.002555851,-0.300102613
-0.015490457,0.002549253,-2.442495059
-0.016075759,0.002543069,-4.504558372
-0.01666903,0.00253729,-6.470688916
-0.017270313,0.002531907,-8.321384329
-0.017879646,0.002526908,-10.03522338
-0.01849707,0.00252228,-11.59388716
-0.019122627,0.002518006,-12.9858943
-0.019756364,0.002514072,-14.20694795
-0.020398327,0.002510458,-15.2587927
-0.021048564,0.002507146,-16.14864301
-0.021707123,0.002504118,-16.88879533
-0.022374051,0.002501355,-17.49515852
-0.023049398,0.00249884,-17.98470233
-0.023733212,0.002496554,-18.37331419
-0.024425539,0.002494482,-18.67530934
-0.025126429,0.002492605,-18.90367572
-0.025835929,0.002490903,-19.06915548
-0.02655409,0.002489358,-19.17826504
-0.027280963,0.002487948,-19.23239698
-0.028016598,0.002486653,-19.22957542
-0.028761044,0.002485454,-19.16806888
-0.029514347,0.00248433,-19.0491866
-0.030276552,0.002483263,-18.87727862
-0.031047702,0.002482234,-18.65771498
-0.031827839,0.002481225,-18.39531406
-0.032617003,0.002480216,-18.09456711
-0.033415232,0.002479191,-17.76051598
-0.034222568,0.002478136,-17.3984265
-0.035039052,0.002477037,-17.01242095
-0.035864724,0.002475883,-16.60492696
-0.036699628,0.002474661,-16.17767765
-0.037543806,0.002473357,-15.73289555
-0.038397298,0.002471954,-15.27323138
-0.039260145,0.002470437,-14.80111083
-0.040132384,0.002468789,-14.31936743
-0.041014057,0.002466994,-13.83299787
-0.041905201,0.002465035,-13.34957026
-0.042805854,0.002462897,-12.87734633
-0.043716054,0.002460562,-12.42311778
-0.044635837,0.002458014,-11.99196137
-0.045565238,0.002455238,-11.58887184
-0.046504288,0.002452216,-11.22000707
-0.047453017,0.002448931,-10.89162663
-0.048411454,0.002445366,-10.6079078
-0.049379627,0.002441506,-10.37059858
-0.050357561,0.002437332,-10.18122213
-0.051345283,0.002432829,-10.04350575
-0.052342814,0.002427978,-9.964013652
-0.053350176,0.002422763,-9.951391712
-0.054367385,0.002417164,-10.01508157
-0.055394454,0.002411161,-10.16344277
-0.056431391,0.002404732,-10.40189531
-0.057478203,0.002397856,-10.73240934
-0.058534897,0.002390511,-11.15462781
-0.059601476,0.002382676,-11.66817292
-0.060677942,0.002374329,-12.2757283
-0.061764296,0.002365451,-12.9854271
-0.062860536,0.002356018,-13.81007633
-0.06396666,0.00234601,-14.76248263
-0.065082662,0.002335405,-15.84981867
-0.066208534,0.00232418,-17.07125538
-0.067344265,0.002312312,-18.41963566
-0.068489841,0.002299777,-19.88410745
-0.069645246,0.002286551,-21.45128709
-0.070810458,0.002272607,-23.10556553
-0.071985455,0.002257921,-24.83008796
-0.07317021,0.002242467,-26.60869292
-0.074364694,0.002226219,-28.42811664
-0.075568879,0.002209152,-30.27987087
-0.076782731,0.002191242,-32.16132464
-0.078006217,0.002172465,-34.07511226
-0.079239299,0.002152799,-36.02643895
-0.080481939,0.002132221,-38.01948838
-0.081734097,0.00211071,-40.05507527
-0.082995732,0.002088244,-42.13107397
-0.084266805,0.002064803,-44.24527603
-0.085547276,0.002040367,-46.39794158
-0.086837103,0.002014912,-48.5908807
-0.088136243,0.001988415,-50.82304456
-0.08944465,0.001960853,-53.0864838
-0.090762276,0.001932198,-55.36645057
-0.09208907,0.001902423,-57.64531745
-0.093424982,0.001871498,-59.90676175
-0.094769956,0.001839393,-62.13745961
-0.096123939,0.001806078,-64.32692261
-0.097486876,0.001771524,-66.46806925
-0.09885871,0.001735699,-68.55906193
-0.100239385,0.001698569,-70.60377633
-0.101628843,0.001660103,-72.60857634
-0.10302702,0.001620263,-74.57666001
-0.104433854,0.001579015,-76.50403847
-0.105849276,0.001536322,-78.37990322
-0.107273215,0.001492148,-80.19032058
-0.108705595,0.001446459,-81.92233434
-0.110146338,0.001399217,-83.5663539
-0.111595362,0.001350387,-85.11619495
-0.113052579,0.001299933,-86.56750782
-0.114517903,0.001247819,-87.91596078
